filename,split,granule_name,track,cycle,pol
synthetic_l0_0372.h5,train,synthetic_l0_0372.h5,,,
synthetic_l0_0220.h5,train,synthetic_l0_0220.h5,,,
synthetic_l0_0180.h5,train,synthetic_l0_0180.h5,,,
synthetic_l0_0205.h5,train,synthetic_l0_0205.h5,,,
synthetic_l0_0136.h5,train,synthetic_l0_0136.h5,,,
synthetic_l0_0040.h5,train,synthetic_l0_0040.h5,,,
synthetic_l0_0225.h5,train,synthetic_l0_0225.h5,,,
synthetic_l0_0155.h5,train,synthetic_l0_0155.h5,,,
synthetic_l0_0276.h5,train,synthetic_l0_0276.h5,,,
synthetic_l0_0185.h5,train,synthetic_l0_0185.h5,,,
synthetic_l0_0496.h5,train,synthetic_l0_0496.h5,,,
synthetic_l0_0452.h5,train,synthetic_l0_0452.h5,,,
synthetic_l0_0395.h5,train,synthetic_l0_0395.h5,,,
synthetic_l0_0327.h5,train,synthetic_l0_0327.h5,,,
synthetic_l0_0366.h5,train,synthetic_l0_0366.h5,,,
synthetic_l0_0165.h5,train,synthetic_l0_0165.h5,,,
synthetic_l0_0181.h5,train,synthetic_l0_0181.h5,,,
synthetic_l0_0488.h5,train,synthetic_l0_0488.h5,,,
synthetic_l0_0437.h5,train,synthetic_l0_0437.h5,,,
synthetic_l0_0051.h5,train,synthetic_l0_0051.h5,,,
synthetic_l0_0330.h5,train,synthetic_l0_0330.h5,,,
synthetic_l0_0369.h5,train,synthetic_l0_0369.h5,,,
synthetic_l0_0193.h5,train,synthetic_l0_0193.h5,,,
synthetic_l0_0493.h5,train,synthetic_l0_0493.h5,,,
synthetic_l0_0045.h5,train,synthetic_l0_0045.h5,,,
synthetic_l0_0337.h5,train,synthetic_l0_0337.h5,,,
synthetic_l0_0061.h5,train,synthetic_l0_0061.h5,,,
synthetic_l0_0467.h5,train,synthetic_l0_0467.h5,,,
synthetic_l0_0475.h5,train,synthetic_l0_0475.h5,,,
synthetic_l0.h5,train,synthetic_l0.h5,,,
synthetic_l0_0046.h5,train,synthetic_l0_0046.h5,,,
synthetic_l0_0292.h5,train,synthetic_l0_0292.h5,,,
synthetic_l0_0325.h5,train,synthetic_l0_0325.h5,,,
synthetic_l0_0338.h5,train,synthetic_l0_0338.h5,,,
synthetic_l0_0235.h5,train,synthetic_l0_0235.h5,,,
synthetic_l0_0360.h5,train,synthetic_l0_0360.h5,,,
synthetic_l0_0492.h5,train,synthetic_l0_0492.h5,,,
synthetic_l0_0091.h5,train,synthetic_l0_0091.h5,,,
synthetic_l0_0344.h5,train,synthetic_l0_0344.h5,,,
synthetic_l0_0463.h5,train,synthetic_l0_0463.h5,,,
synthetic_l0_0231.h5,train,synthetic_l0_0231.h5,,,
synthetic_l0_0107.h5,train,synthetic_l0_0107.h5,,,
synthetic_l0_0484.h5,train,synthetic_l0_0484.h5,,,
synthetic_l0_0083.h5,train,synthetic_l0_0083.h5,,,
synthetic_l0_0321.h5,train,synthetic_l0_0321.h5,,,
synthetic_l0_0151.h5,train,synthetic_l0_0151.h5,,,
synthetic_l0_0053.h5,train,synthetic_l0_0053.h5,,,
synthetic_l0_0431.h5,train,synthetic_l0_0431.h5,,,
synthetic_l0_0204.h5,train,synthetic_l0_0204.h5,,,
synthetic_l0_0160.h5,train,synthetic_l0_0160.h5,,,
synthetic_l0_0172.h5,train,synthetic_l0_0172.h5,,,
synthetic_l0_0055.h5,train,synthetic_l0_0055.h5,,,
synthetic_l0_0216.h5,train,synthetic_l0_0216.h5,,,
synthetic_l0_0096.h5,train,synthetic_l0_0096.h5,,,
synthetic_l0_0032.h5,train,synthetic_l0_0032.h5,,,
synthetic_l0_0288.h5,train,synthetic_l0_0288.h5,,,
synthetic_l0_0194.h5,train,synthetic_l0_0194.h5,,,
synthetic_l0_0349.h5,train,synthetic_l0_0349.h5,,,
synthetic_l0_0495.h5,train,synthetic_l0_0495.h5,,,
synthetic_l0_0248.h5,train,synthetic_l0_0248.h5,,,
synthetic_l0_0297.h5,train,synthetic_l0_0297.h5,,,
synthetic_l0_0419.h5,train,synthetic_l0_0419.h5,,,
synthetic_l0_0124.h5,train,synthetic_l0_0124.h5,,,
synthetic_l0_0019.h5,train,synthetic_l0_0019.h5,,,
synthetic_l0_0265.h5,train,synthetic_l0_0265.h5,,,
synthetic_l0_0100.h5,train,synthetic_l0_0100.h5,,,
synthetic_l0_0285.h5,train,synthetic_l0_0285.h5,,,
synthetic_l0_0131.h5,train,synthetic_l0_0131.h5,,,
synthetic_l0_0341.h5,train,synthetic_l0_0341.h5,,,
synthetic_l0_0445.h5,train,synthetic_l0_0445.h5,,,
synthetic_l0_0228.h5,train,synthetic_l0_0228.h5,,,
synthetic_l0_0404.h5,train,synthetic_l0_0404.h5,,,
synthetic_l0_0305.h5,train,synthetic_l0_0305.h5,,,
synthetic_l0_0444.h5,train,synthetic_l0_0444.h5,,,
synthetic_l0_0080.h5,train,synthetic_l0_0080.h5,,,
synthetic_l0_0242.h5,train,synthetic_l0_0242.h5,,,
synthetic_l0_0454.h5,train,synthetic_l0_0454.h5,,,
synthetic_l0_0264.h5,train,synthetic_l0_0264.h5,,,
synthetic_l0_0450.h5,train,synthetic_l0_0450.h5,,,
synthetic_l0_0115.h5,train,synthetic_l0_0115.h5,,,
