file,flag,reasons,freq,pol,n_pulses,n_range,eigen_contrast_max_db,eigen_contrast_mean_db,f_factor_max,pulse_energy_mad,zero_frac
synthetic_l0.h5,CLEAN,no issues flagged,frequencyA,HH,16000,1024,3.89,3.68,0.226,3.62,0.0
synthetic_l0_0000.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.04,3.7,0.373,3.81,0.0
synthetic_l0_0001.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.84,3.63,0.519,3.55,0.0
synthetic_l0_0002.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.91,3.69,0.818,4.94,0.0
synthetic_l0_0003.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.77,0.491,3.96,0.0
synthetic_l0_0004.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.68,0.561,3.8,0.0
synthetic_l0_0005.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.09,3.75,0.529,4.61,0.0
synthetic_l0_0006.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.64,0.289,3.02,0.0
synthetic_l0_0007.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.07,3.72,0.388,3.5,0.0
synthetic_l0_0008.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.94,3.65,0.422,4.12,0.0
synthetic_l0_0009.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.84,3.62,0.281,4.14,0.0
synthetic_l0_0010.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.13,3.72,0.6,5.25,0.0
synthetic_l0_0011.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.91,3.69,0.413,4.81,0.0
synthetic_l0_0012.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.15,3.78,0.659,3.94,0.0
synthetic_l0_0013.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.1,3.73,0.645,3.71,0.0
synthetic_l0_0014.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.74,0.538,3.33,0.0
synthetic_l0_0015.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.96,3.72,0.26,3.05,0.0
synthetic_l0_0016.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.68,0.494,3.51,0.0
synthetic_l0_0017.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.65,0.387,5.06,0.0
synthetic_l0_0018.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.78,0.513,3.3,0.0
synthetic_l0_0019.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.77,0.41,4.51,0.0
synthetic_l0_0020.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.73,1.233,3.11,0.0
synthetic_l0_0021.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.96,3.7,0.342,3.38,0.0
synthetic_l0_0022.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.58,0.708,4.64,0.0
synthetic_l0_0023.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.11,3.81,0.353,3.81,0.0
synthetic_l0_0024.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.92,3.71,0.268,4.03,0.0
synthetic_l0_0025.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.94,3.64,0.467,3.3,0.0
synthetic_l0_0026.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.1,3.78,0.651,3.27,0.0
synthetic_l0_0027.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.79,0.183,4.79,0.0
synthetic_l0_0028.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.01,3.69,0.403,2.97,0.0
synthetic_l0_0029.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.01,3.79,0.567,4.87,0.0
synthetic_l0_0030.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.3,3.76,1.066,3.83,0.0
synthetic_l0_0031.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.99,3.76,0.36,4.5,0.0
synthetic_l0_0032.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.1,3.76,0.337,4.39,0.0
synthetic_l0_0033.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.06,3.77,0.334,4.13,0.0
synthetic_l0_0034.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.91,3.74,0.42,3.76,0.0
synthetic_l0_0035.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.63,0.637,3.11,0.0
synthetic_l0_0036.h5,REVIEW,pulse energy MAD 7.1 (>= 6.0),frequencyA,HH,3200,256,4.18,3.71,0.581,7.05,0.0
synthetic_l0_0037.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.89,3.72,0.31,3.76,0.0
synthetic_l0_0038.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.95,3.67,0.485,4.7,0.0
synthetic_l0_0039.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.9,3.7,0.37,4.09,0.0
synthetic_l0_0040.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.91,3.65,0.717,2.84,0.0
synthetic_l0_0041.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.12,3.71,0.374,3.24,0.0
synthetic_l0_0042.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.17,3.74,0.931,3.46,0.0
synthetic_l0_0043.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.2,3.67,0.979,3.62,0.0
synthetic_l0_0044.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.96,3.75,0.54,3.97,0.0
synthetic_l0_0045.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.77,0.347,3.59,0.0
synthetic_l0_0046.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.95,3.69,0.738,5.09,0.0
synthetic_l0_0047.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.16,3.84,0.945,3.16,0.0
synthetic_l0_0048.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.89,3.7,0.408,4.15,0.0
synthetic_l0_0049.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.72,0.621,3.19,0.0
synthetic_l0_0050.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.03,3.68,1.521,3.95,0.0
synthetic_l0_0051.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.11,3.7,0.359,4.28,0.0
synthetic_l0_0052.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.03,3.74,0.712,4.09,0.0
synthetic_l0_0053.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.08,3.7,0.628,5.51,0.0
synthetic_l0_0054.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.0,3.69,0.415,3.7,0.0
synthetic_l0_0055.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.21,3.78,0.815,3.97,0.0
synthetic_l0_0056.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.97,3.72,0.666,4.39,0.0
synthetic_l0_0057.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.05,3.7,0.468,3.69,0.0
synthetic_l0_0058.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.19,3.73,1.498,3.07,0.0
synthetic_l0_0059.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.02,3.69,0.695,4.85,0.0
synthetic_l0_0060.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.01,3.74,0.772,4.39,0.0
synthetic_l0_0061.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,3.98,3.7,0.55,4.37,0.0
synthetic_l0_0062.h5,CLEAN,no issues flagged,frequencyA,HH,3200,256,4.09,3.7,0.47,4.96,0.0
