file,flag,reasons,band,freq,pols,metric_pol,spike_mad,n_spikes,flatness,row_stripe_mad,col_stripe_mad,dark_frac,zero_frac,median_db,quicklook,rgb
NISAR_L1_PR_RSLC_004_025_D_090_2005_SHSH_A_20251030T224948_20251030T225023_X05009_N_F_J_001.h5,REVIEW,range-spectrum spike (9.9 MAD); 1 spectral tone(s),LSAR,frequencyA,HH,HH,9.85,1,0.9992,3.32,1.84,0.203,0.0,-7.6,NISAR_L1_PR_RSLC_004_025_D_090_2005_SHSH_A_20251030T224948_20251030T225023_X05009_N_F_J_001_quicklook.png,NISAR_L1_PR_RSLC_004_025_D_090_2005_SHSH_A_20251030T224948_20251030T225023_X05009_N_F_J_001_quicklook_rgb.png
NISAR_L1_PR_RSLC_004_060_A_175_2005_DHDH_A_20251102T095406_20251102T095441_X05009_N_F_J_001.h5,REVIEW,1 spectral tone(s),LSAR,frequencyA,HH/HV,HH,7.83,1,0.9989,2.87,2.03,0.227,0.0,-8.13,NISAR_L1_PR_RSLC_004_060_A_175_2005_DHDH_A_20251102T095406_20251102T095441_X05009_N_F_J_001_quicklook.png,NISAR_L1_PR_RSLC_004_060_A_175_2005_DHDH_A_20251102T095406_20251102T095441_X05009_N_F_J_001_quicklook_rgb.png
NISAR_L1_PR_RSLC_004_061_A_002_2005_DHDH_A_20251102T095546_20251102T095621_X05009_N_F_J_001.h5,CLEAN,no issues flagged,LSAR,frequencyA,HH/HV,HH,4.39,0,0.999,7.62,2.13,0.221,0.0,-8.08,NISAR_L1_PR_RSLC_004_061_A_002_2005_DHDH_A_20251102T095546_20251102T095621_X05009_N_F_J_001_quicklook.png,NISAR_L1_PR_RSLC_004_061_A_002_2005_DHDH_A_20251102T095546_20251102T095621_X05009_N_F_J_001_quicklook_rgb.png
NISAR_L1_PR_RSLC_004_068_D_090_2005_SHSH_A_20251102T222450_20251102T222524_X05009_N_F_J_001.h5,REVIEW,1 spectral tone(s),LSAR,frequencyA,HH,HH,7.6,1,0.9992,7.11,2.03,0.225,0.0,-8.24,NISAR_L1_PR_RSLC_004_068_D_090_2005_SHSH_A_20251102T222450_20251102T222524_X05009_N_F_J_001_quicklook.png,NISAR_L1_PR_RSLC_004_068_D_090_2005_SHSH_A_20251102T222450_20251102T222524_X05009_N_F_J_001_quicklook_rgb.png
NISAR_L1_PR_RSLC_004_089_A_175_2005_DHDH_A_20251104T101045_20251104T101119_X05009_N_F_J_001.h5,REVIEW,1 spectral tone(s),LSAR,frequencyA,HH/HV,HH,7.57,1,0.999,3.93,2.01,0.196,0.0,-7.56,NISAR_L1_PR_RSLC_004_089_A_175_2005_DHDH_A_20251104T101045_20251104T101119_X05009_N_F_J_001_quicklook.png,NISAR_L1_PR_RSLC_004_089_A_175_2005_DHDH_A_20251104T101045_20251104T101119_X05009_N_F_J_001_quicklook_rgb.png
NISAR_L1_PR_RSLC_004_090_A_002_2005_DHDH_A_20251104T101225_20251104T101300_X05009_N_F_J_001.h5,REVIEW,1 spectral tone(s),LSAR,frequencyA,HH/HV,HH,6.23,1,0.9989,4.35,2.5,0.196,0.0,-7.34,NISAR_L1_PR_RSLC_004_090_A_002_2005_DHDH_A_20251104T101225_20251104T101300_X05009_N_F_J_001_quicklook.png,NISAR_L1_PR_RSLC_004_090_A_002_2005_DHDH_A_20251104T101225_20251104T101300_X05009_N_F_J_001_quicklook_rgb.png
NISAR_L1_PR_RSLC_004_097_D_090_2005_SHSH_A_20251104T224129_20251104T224203_X05009_N_F_J_001.h5,REVIEW,1 spectral tone(s),LSAR,frequencyA,HH,HH,6.27,1,0.9992,2.7,2.44,0.206,0.0,-7.8,NISAR_L1_PR_RSLC_004_097_D_090_2005_SHSH_A_20251104T224129_20251104T224203_X05009_N_F_J_001_quicklook.png,NISAR_L1_PR_RSLC_004_097_D_090_2005_SHSH_A_20251104T224129_20251104T224203_X05009_N_F_J_001_quicklook_rgb.png
NISAR_L1_PR_RSLC_004_118_A_175_2005_DHDH_A_20251106T102724_20251106T102758_X05009_N_F_J_001.h5,REVIEW,range-spectrum spike (8.8 MAD); 1 spectral tone(s),LSAR,frequencyA,HH/HV,HH,8.79,1,0.9992,4.08,2.32,0.184,0.0,-7.66,NISAR_L1_PR_RSLC_004_118_A_175_2005_DHDH_A_20251106T102724_20251106T102758_X05009_N_F_J_001_quicklook.png,NISAR_L1_PR_RSLC_004_118_A_175_2005_DHDH_A_20251106T102724_20251106T102758_X05009_N_F_J_001_quicklook_rgb.png
NISAR_L1_PR_RSLC_004_119_A_002_2005_DHDH_A_20251106T102904_20251106T102932_X05010_N_F_J_001.h5,CLEAN,no issues flagged,LSAR,frequencyA,HH/HV,HH,5.67,0,0.9992,2.85,2.22,0.174,0.0,-7.03,NISAR_L1_PR_RSLC_004_119_A_002_2005_DHDH_A_20251106T102904_20251106T102932_X05010_N_F_J_001_quicklook.png,NISAR_L1_PR_RSLC_004_119_A_002_2005_DHDH_A_20251106T102904_20251106T102932_X05010_N_F_J_001_quicklook_rgb.png
NISAR_L1_PR_RSLC_005_017_A_175_2005_DHDH_A_20251111T101905_20251111T101939_X05009_N_F_J_001.h5,CLEAN,no issues flagged,LSAR,frequencyA,HH/HV,HH,4.37,0,0.999,3.33,2.25,0.202,0.0,-7.73,NISAR_L1_PR_RSLC_005_017_A_175_2005_DHDH_A_20251111T101905_20251111T101939_X05009_N_F_J_001_quicklook.png,NISAR_L1_PR_RSLC_005_017_A_175_2005_DHDH_A_20251111T101905_20251111T101939_X05009_N_F_J_001_quicklook_rgb.png
