run,mean,median,std,min,max,p05,p95,iqr,count
amazon clean HH,0.8769765347316136,0.8813368351444583,0.04101130376212571,0.4617765511468143,0.9829581831635675,0.8056019541894954,0.9348958154824293,0.05195229275578517,60937
amazon clean HV,0.879373758436708,0.883624693658847,0.04101460840546944,0.15474204365934408,0.9831629943007538,0.8113855004047466,0.9353301687184059,0.04988293333139082,60909
amazon contam rfi HH,0.025533518709293667,0.0036533812798177144,0.08303989771939589,0.000766845571566236,0.9730411549039472,0.001138795351066089,0.12680066280106028,0.010602282243563174,366219
amazon contam rfi HV,0.02581850592518393,0.0036410258969361135,0.08410123259688729,0.0007741591106614283,0.9735669629562258,0.0011378529614277603,0.12821798685986843,0.010622062117535552,366247
berlin clean HH,0.910613534841703,0.9127107037968388,0.026140948787245037,0.7083463034099231,0.9861044101952791,0.864295953107839,0.9494830496785303,0.03442260451906132,23660
berlin clean HV,0.9053485670804112,0.9074841746819239,0.02710569922600546,0.5573942232387781,0.9824527453678628,0.8572403218511035,0.9460659863525411,0.03621988725732839,24742
czech clean HH,0.9116862332512305,0.9137203261469576,0.02591277182747447,0.8050332004933785,0.9756461365453537,0.8648933658843957,0.949694506740353,0.03420015296991241,2241
czech clean HV,0.9064973518813284,0.9121285997509161,0.038105078799657084,0.24037305365983377,0.9874016186943702,0.8507869402686331,0.9504064037279496,0.035772867195097646,4358
czech contam rfi HH,0.0773280852285641,0.053892653956418325,0.05945901639900794,0.026001697644413124,0.3859883508561371,0.03282761651220301,0.21404358621870695,0.047906902765475,13674
czech contam rfi HV,0.08329091643709557,0.05501643442260153,0.08687181786561576,0.02637503001619688,0.9707438920344741,0.032954202629889476,0.22680612095947583,0.050600716048138136,25971
