run,mean,median,std,min,max,p05,p95,iqr,count
amazon train rfi HH,24.8311075530171,26.5042781829834,6.007191552077386,5.151261329650879,36.634700775146484,12.08643856048584,31.69004077911377,8.061369895935059,366219
amazon train rfi HV,24.812194830858722,26.5065860748291,6.02347300835946,5.345115661621094,36.145164489746094,12.014185237884522,31.681224060058593,8.067740440368652,366247
amazon test rfi HH,24.87146090576804,26.554792404174805,5.967583804459608,5.876567840576172,34.869380950927734,12.14400610923767,31.65542230606079,7.933464050292969,39360
amazon test rfi HV,24.82680635386957,26.48066234588623,6.010623115408861,5.573381423950195,35.18429183959961,11.975330924987794,31.6714147567749,8.025448322296143,39278
czech mountain rfi HH,14.479690793872804,14.904694557189941,2.338235036181731,6.647578239440918,23.51990509033203,9.915271854400634,17.65613489151001,3.0811541080474854,13674
czech mountain rfi HV,14.307414484668497,14.813347816467285,2.4066286510866393,5.0573296546936035,21.41299819946289,9.543481826782227,17.458060264587402,3.2108569145202637,25971
berlin urban rfi HH,18.035682095350886,18.852916717529297,3.4692875367112923,6.807007312774658,28.86777687072754,11.09504337310791,22.38303565979004,4.609203338623047,20205
berlin urban rfi HV,17.751122315049763,18.669593811035156,3.5917582817271247,4.96779727935791,25.454776763916016,10.391197299957275,22.124863624572754,4.8328118324279785,21195
berlin urban clean HH,8.09900131726406,7.724448204040527,1.9692248911850851,3.7706830501556396,25.250301361083984,5.680179381370545,11.917977333068848,2.129005551338196,23660
berlin urban clean HV,7.137312654236296,7.052741765975952,1.194267709910924,3.659749984741211,14.020055770874023,5.374373745918274,9.180825233459473,1.4246749877929688,24742
czech mountain clean HH,7.935441170403915,7.541606426239014,1.8766146155992316,3.7555418014526367,20.834800720214844,5.69171462059021,11.728526306152343,2.0087225437164307,15915
czech mountain clean HV,7.117194383048238,7.05328893661499,1.1608965535222098,3.645057439804077,14.743524551391602,5.3488061904907225,9.099088096618653,1.4882946014404297,30329
amazon clean HH,7.037001003208536,6.993801116943359,0.7094150436601466,4.4712677001953125,11.780017852783203,5.949896812438965,8.255454635620117,0.9639005661010742,67577
amazon clean HV,7.0123946309218335,6.977357387542725,0.7134439037346244,4.722488880157471,11.952600479125977,5.912250995635986,8.223886966705322,0.976412296295166,67631
australia clean HH,6.063793577975027,5.9423158168792725,0.9258200804000928,3.3199117183685303,11.087272644042969,4.775816297531128,7.785983753204344,1.1347918510437012,20744
australia clean HV,6.313108349308243,6.539594650268555,0.9910971719774264,2.5616791248321533,10.325106620788574,4.037456750869751,7.485552430152893,1.0404729843139648,75066
chile mountain clean HH,7.831875894678691,7.660599231719971,1.7319815996220143,3.2536044120788574,17.71410369873047,5.284260177612305,10.923771286010743,2.2655324935913086,23477
chile mountain clean HV,7.266543293080512,7.226192951202393,1.3315643562517125,3.6263675689697266,12.407857894897461,5.1429530620574955,9.548642921447755,1.8175640106201172,13499
chile mountain clean test HH,7.336432184736178,7.275440216064453,1.2129398623229113,3.7014360427856445,14.193729400634766,5.49012565612793,9.374722480773926,1.5220715999603271,6691
chile mountain clean test HV,7.579632488748524,7.513114929199219,1.2780532582681903,3.3824219703674316,13.32365894317627,5.5798492431640625,9.812893104553222,1.6833086013793945,16817
south africa clean HH,7.686185588531777,7.305784702301025,2.0455113946559096,3.1659865379333496,24.07178497314453,5.325685358047485,11.313554668426509,2.034909963607788,38567
south africa clean HV,6.911473059115943,6.871766567230225,1.0710923899027351,3.6427876949310303,14.709096908569336,5.203738021850586,8.73558440208435,1.424575924873352,21260
chile mountain rfi HH,12.545313202846264,12.718312740325928,1.7330327861392951,6.081007957458496,20.267370223999023,9.397926902770996,15.190513753890992,2.183382749557495,20204
chile mountain rfi HV,12.414850719297611,12.66694688796997,1.7685547083759117,4.037613391876221,17.602890014648438,9.100121021270752,14.95513391494751,2.2804975509643555,11546
south africa rfi HH,12.468893949216005,12.642069816589355,1.829554443107012,6.293585777282715,24.958688735961914,9.216821956634522,15.128031730651855,2.198254108428955,33075
south africa rfi HV,12.292978391153383,12.559041023254395,1.7248581288764957,4.720592021942139,17.804983139038086,9.02100715637207,14.73697509765625,2.2274255752563477,18245
