run,mean,median,std,min,max,p05,p95,iqr,count
mountains czech clean,10.418,10.647,0.812,2.963,11.565,8.735,11.172,0.657,
mountains berlin clean ,10.311,10.552,0.901,1.695,11.601,8.582,11.173,0.764,
amazon train clean,7.654,6.948,2.651,2.238,11.451,4.233,11.049,5.569,
amazon test clean,7.602,6.919,2.689,2.281,11.381,4.128,11.055,5.663,
amazon synthetic rfi HH,3.276,2.752,1.988,1.09,11.277,1.272,8.175,1.785,366219
amazon synthetic rfi HV,3.278,2.746,1.998,1.085,11.261,1.271,8.218,1.781,366247
mountains synthetic rfi HV,3.241,2.745,1.949,1.088,11.438,1.266,7.909,1.781,28243
mountains synthetic rfi HH,3.234,2.784,1.848,1.1,10.789,1.276,7.642,1.75,13744
amazon clean train HH,7.654326475370457,6.948071599364363,2.6513487325510483,2.2384296320522066,11.450938057254108,4.232884997782156,11.049112245887772,5.568544035609362,427156
amazon clean train HV,10.819752383628732,10.834293721881066,0.2388909474562965,2.1004537447989007,11.473888659689235,10.50234709711825,11.10539497619506,0.25258229991498204,427153
amazon clean test HH,7.602128864097883,6.919413194849429,2.689133917237854,2.281280086795998,11.381472385487323,4.127694367362366,11.05532649394213,5.662561489193616,46000
amazon clean test HV,10.82312191817265,10.83876670800304,0.24122023806200515,2.3091553814633405,11.383664557719404,10.492685553447725,11.117653021726184,0.25784618819999494,45999
mountains czech clean HH,10.417651270940778,10.646600115465208,0.8117203415118796,2.9625549519334204,11.564691248552464,8.734920093147062,11.172085456213944,0.6569553035154883,16086
mountains czech clean HV,10.731774961513109,10.787044734455037,0.4041782125894417,6.558581636728906,11.618938627378055,10.02898267560035,11.26770733991406,0.48911060154369324,32967
mountains berlin clean HV,10.724308434481273,10.7847374725056,0.4180164565753237,5.931064574023043,11.584092412817006,9.98448915707704,11.258928952929992,0.4686174608476925,27383
mountains berlin clean HH,10.31132568914458,10.551833114873972,0.9014460541807758,1.6952088309026836,11.600629249300123,8.581643572250465,11.17282384008006,0.7638505631936905,23866
mountains low-jsr rfi HH,6.69238000277839,6.541514873504639,1.4085089297457556,2.7595505714416504,10.8880615234375,4.553781604766845,9.417148542404174,1.7765192985534668,13840
mountains low-jsr rfi HV,6.682853561545142,6.48077917098999,1.4969484544761869,3.1461338996887207,11.426777839660645,4.503511190414429,9.646175384521484,1.8965966701507568,28151
