run,mean,median,std,min,max,p05,p95,iqr,count
amazon train rfi HH,0.025533518709293667,0.0036533812798177144,0.08303989771939589,0.000766845571566236,0.9730411549039472,0.001138795351066089,0.12680066280106028,0.010602282243563174,366219
amazon train rfi HV,0.02581850592518393,0.0036410258969361135,0.08410123259688729,0.0007741591106614283,0.9735669629562258,0.0011378529614277603,0.12821798685986843,0.010622062117535552,366247
amazon test rfi HH,0.02540986022347316,0.0036045252666223686,0.08407316659867685,0.0008328787802127762,0.9629320614386983,0.0011410656532025597,0.12303218218017115,0.01030059535099753,39360
amazon test rfi HV,0.025407814636239354,0.003627446822993031,0.08212286652156674,0.0008183211809047374,0.9600684714233677,0.0011370620152364994,0.12758274264860095,0.010392769323549138,39278
mountain contam caltone rfi HH,0.0773280852285641,0.053892653956418325,0.05945901639900794,0.026001697644413124,0.3859883508561371,0.03282761651220301,0.21404358621870695,0.047906902765475,13674
mountain contam caltone rfi HV,0.08329091643709557,0.05501643442260153,0.08687181786561576,0.02637503001619688,0.9707438920344741,0.032954202629889476,0.22680612095947583,0.050600716048138136,25971
mountain clean caltone HH,0.9112185705745235,0.9132366303466181,0.025881186496755165,0.754489790526877,0.983148998924033,0.8646422094684415,0.94965575915337,0.03410887322214917,15915
mountain clean caltone HV,0.9058607874244871,0.907978046138932,0.026850104145242273,0.7837315715974811,0.9814259258425806,0.8582964185147617,0.9461619109741373,0.03605168297244565,30329
mountain clean test caltone HH,0.910613534841703,0.9127107037968388,0.026140948787245037,0.7083463034099231,0.9861044101952791,0.864295953107839,0.9494830496785303,0.03442260451906132,23660
mountain clean test caltone HV,0.9053485670804112,0.9074841746819239,0.02710569922600546,0.5573942232387781,0.9824527453678628,0.8572403218511035,0.9460659863525411,0.03621988725732839,24742
amazon clean HH,0.8770881842007435,0.8814386478373404,0.04093077458979655,0.4617765511468143,0.9829581831635675,0.8057353224879952,0.9349663057466763,0.05189787805973345,67577
amazon clean HV,0.879380556753598,0.8835519328162627,0.040794709558211656,0.15474204365934408,0.9831629943007538,0.8114296711042309,0.935361494563168,0.04992811110765094,67631
