Tool,Check,Result,Threshold,Actual,Notes
QA,Able to open input NISAR file?,PASS,,,
QA,Coordinate grid metadata cubes are valid?,PASS,,,
QA,Calibration information LUTs are valid?,FAIL,,,
QA,Passes all `identification` group checks?,FAIL,,,
QA,% Cumulative NaN and Inf and fill and near-zero pixels under threshold?,PASS,,,RSLC_L_A_HH backscatter: If a 'FAIL' then all histogram bin counts are zero. This likely indicates that the raster contained no valid data. Note: check performed on decimated raster not full raster.
QA,% Cumulative NaN and Inf and fill and near-zero pixels under threshold?,PASS,,,RSLC_L_A_HV backscatter: If a 'FAIL' then all histogram bin counts are zero. This likely indicates that the raster contained no valid data. Note: check performed on decimated raster not full raster.
QA,% Cumulative NaN and Inf and fill and near-zero pixels under threshold?,PASS,,,RSLC_L_A_HH phase: If a 'FAIL' then all histogram bin counts are zero. This likely indicates that the raster contained no valid data. Note: check performed on decimated raster not full raster.
QA,% Cumulative NaN and Inf and fill and near-zero pixels under threshold?,PASS,,,RSLC_L_A_HV phase: If a 'FAIL' then all histogram bin counts are zero. This likely indicates that the raster contained no valid data. Note: check performed on decimated raster not full raster.
QA,% Cumulative NaN and Inf and fill and near-zero pixels under threshold?,PASS,,,RSLC_L_B_HH backscatter: If a 'FAIL' then all histogram bin counts are zero. This likely indicates that the raster contained no valid data. Note: check performed on decimated raster not full raster.
QA,% Cumulative NaN and Inf and fill and near-zero pixels under threshold?,PASS,,,RSLC_L_B_HV backscatter: If a 'FAIL' then all histogram bin counts are zero. This likely indicates that the raster contained no valid data. Note: check performed on decimated raster not full raster.
QA,% Cumulative NaN and Inf and fill and near-zero pixels under threshold?,PASS,,,RSLC_L_B_HH phase: If a 'FAIL' then all histogram bin counts are zero. This likely indicates that the raster contained no valid data. Note: check performed on decimated raster not full raster.
QA,% Cumulative NaN and Inf and fill and near-zero pixels under threshold?,PASS,,,RSLC_L_B_HV phase: If a 'FAIL' then all histogram bin counts are zero. This likely indicates that the raster contained no valid data. Note: check performed on decimated raster not full raster.
QA,QA completed with no exceptions?,PASS,,,
